"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute",,,,"User:","root"
"Cmdline:","dstat -cmndTr --output 10_instances_dstat_compute.csv",,,,"Date:","26 Jul 2015 14:47:28 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"epoch","io/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
1.781,0.781,97.438,0.0,0.0,0.0,2367270912.0,244064256.0,9986658304.0,1.22558537728e+11,93534.0,207050.0,0.0,598016.0,1437932858.670,0.0,18.0,
3.171,2.323,94.474,0.031,0.0,0.0,2372546560.0,244080640.0,9988280320.0,1.2255162368e+11,129635.0,269346.0,0.0,2998272.0,1437932859.670,0.0,105.0,
5.313,3.144,91.544,0.0,0.0,0.0,2385453056.0,244080640.0,9989455872.0,1.22537541632e+11,74484.0,138141.0,0.0,2711552.0,1437932860.670,0.0,97.0,
8.802,4.495,86.702,0.0,0.0,0.0,2389073920.0,244080640.0,9994297344.0,1.22529079296e+11,152958.0,191532.0,0.0,3710976.0,1437932861.670,0.0,146.0,
15.249,8.349,75.551,0.819,0.0,0.032,2427662336.0,244084736.0,10000252928.0,1.224845312e+11,37520.0,89327.0,111616.0,8224768.0,1437932862.670,25.0,335.0,
17.187,8.578,73.825,0.410,0.0,0.0,2433814528.0,244146176.0,10007183360.0,1.22471387136e+11,18074.0,62790.0,111616.0,13803520.0,1437932863.670,25.0,569.0,
6.144,2.194,91.191,0.439,0.0,0.031,2403848192.0,244158464.0,10016952320.0,1.22491572224e+11,51271.0,76221.0,4096.0,9859072.0,1437932864.670,1.0,418.0,
3.954,1.224,94.415,0.408,0.0,0.0,2430328832.0,244158464.0,10018873344.0,1.2246317056e+11,39648.0,77008.0,330240.0,2818048.0,1437932865.670,73.0,103.0,
6.179,2.729,90.652,0.408,0.0,0.031,2499788800.0,244162560.0,10019893248.0,1.22392686592e+11,80155.0,113373.0,14810112.0,1883648.0,1437932866.670,921.0,70.0,
8.825,4.648,86.338,0.157,0.0,0.031,2603261952.0,244174848.0,10021720064.0,1.22287374336e+11,28148.0,85186.0,22383104.0,3184640.0,1437932867.670,1377.0,125.0,
13.535,7.869,78.218,0.315,0.0,0.063,2850955264.0,244211712.0,10024611840.0,1.22036752384e+11,81745.0,188175.0,43945472.0,4447232.0,1437932868.670,2800.0,181.0,
17.947,7.997,66.121,7.872,0.0,0.063,3450421248.0,244232192.0,10026602496.0,1.21435275264e+11,130747.0,299569.0,91435520.0,9489920.0,1437932869.670,7102.0,425.0,
6.015,2.912,84.109,6.901,0.0,0.063,3533807616.0,244236288.0,10026577920.0,1.21351909376e+11,18674.0,71048.0,37189632.0,11282432.0,1437932870.670,5044.0,527.0,
13.265,10.238,52.608,23.181,0.0,0.708,3689103360.0,244248576.0,10026582016.0,1.21196597248e+11,4292.0,54768.0,141958144.0,49232896.0,1437932871.670,17533.0,2234.0,
15.601,3.708,51.950,28.613,0.0,0.128,3856437248.0,244252672.0,10026590208.0,1.21029251072e+11,9948.0,56629.0,108814336.0,18351104.0,1437932872.669,6163.0,288.0,
14.620,2.905,59.615,22.798,0.0,0.063,4034830336.0,244252672.0,10026598400.0,1.20850849792e+11,30616.0,68743.0,59727872.0,33752064.0,1437932873.669,3560.0,165.0,
4.610,0.878,62.402,32.110,0.0,0.0,4085948416.0,244252672.0,10026598400.0,1.20799731712e+11,13625.0,64858.0,17494016.0,36323328.0,1437932874.670,737.0,154.0,
1.317,0.878,63.856,33.950,0.0,0.0,4094803968.0,244252672.0,10026606592.0,1.20790867968e+11,4914.0,52855.0,8859648.0,47552512.0,1437932875.670,224.0,258.0,
6.875,1.451,62.062,29.612,0.0,0.0,4154138624.0,244252672.0,10026614784.0,1.2073152512e+11,2744.0,54171.0,41336832.0,32743424.0,1437932876.670,1629.0,137.0,
10.742,2.275,59.400,27.583,0.0,0.0,4193525760.0,244252672.0,10026618880.0,1.20692133888e+11,3726.0,53681.0,61157376.0,43893760.0,1437932877.670,2876.0,362.0,
20.915,2.871,51.356,24.795,0.0,0.063,4249042944.0,244269056.0,10026614784.0,1.20636604416e+11,2580.0,52800.0,47132672.0,46473216.0,1437932878.670,2768.0,369.0,
26.747,1.676,43.535,27.980,0.0,0.063,4405104640.0,244269056.0,10026631168.0,1.20480526336e+11,108520.0,121435.0,102121472.0,43352064.0,1437932879.670,2831.0,185.0,
10.705,1.385,56.234,31.644,0.0,0.031,4488785920.0,244269056.0,10026663936.0,1.20396812288e+11,63252.0,89712.0,47468544.0,52109312.0,1437932880.670,771.0,3200.0,
21.442,2.720,52.657,23.118,0.0,0.063,4740423680.0,244269056.0,10026676224.0,1.2014516224e+11,124572.0,139788.0,178348032.0,21905408.0,1437932881.670,2582.0,109.0,
27.016,1.443,59.052,12.457,0.0,0.031,4872892416.0,244269056.0,10026692608.0,1.2001267712e+11,26106.0,70763.0,62189568.0,27271168.0,1437932882.670,1641.0,390.0,
22.786,1.355,56.098,19.697,0.0,0.063,4884336640.0,244269056.0,10026704896.0,1.20001220608e+11,97894.0,139786.0,54112256.0,10006528.0,1437932883.670,1977.0,193.0,
21.679,1.073,53.897,23.320,0.0,0.032,4892590080.0,244269056.0,10026717184.0,1.1999295488e+11,58725.0,108235.0,64544768.0,7438336.0,1437932884.670,2203.0,100.0,
9.801,0.851,58.336,31.012,0.0,0.0,4936785920.0,244269056.0,10026741760.0,1.19948734464e+11,24118.0,73923.0,73306112.0,8744960.0,1437932885.670,2321.0,118.0,
